month	aver_temp	aver_temp_high	aver_temp_low	aver_hum	aver_wind
13-Jan	-0.5	4	-4.3	48	3
13-Feb	1.8	6.7	-2.5	43	2.7
13-Mar	7.4	12.2	2.7	50	2.8
13-Apr	10.8	15.3	6.1	51	2.9
13-May	18.1	23.1	13.6	61	2.3
13-Jun	21.5	25	18.4	74	1.5
13-Jul	27	30.7	23.9	70	2.1
13-Aug	28.5	32.5	25.3	61	2.4
13-Sep	20.8	24.6	17.7	72	1.9
13-Oct	15.8	20.4	11.9	64	2.2
13-Nov	8.8	13.1	4.8	44	3.4
13-Dec	3.1	7.2	-0.3	46	3.1
14-Jan	2.3	6.4	-2	43	2.8
14-Feb	1.3	5.3	-1.8	71	1.7
14-Mar	8.3	12.7	3.6	50	2.7
14-Apr	14.1	18.7	9.5	52	2.4
14-May	20	24.8	14.9	46	2.9
14-Jun	20.9	24.3	17.9	74	1.5
14-Jul	26.1	30.1	22.5	64	2.1
14-Aug	23.7	26.7	20.9	77	1.7
14-Sep	20.9	25.1	17.4	71	2
14-Oct	15.9	20.6	11.8	58	2.4
14-Nov	10.5	14.5	6.8	52	2.3
14-Dec	1.1	5.6	-3.2	33	3.3
15-Jan	2.2	6.4	-1.5	46	2.9
15-Feb	3.1	7.4	-0.6	50	2.8
15-Mar	8.2	13.4	2.9	38	2.6
15-Apr	12.1	16.7	7.5	57	2.3
15-May	20	25.1	14.8	46	2.6
15-Jun	21	25.1	17.2	65	1.9
15-Jul	23.8	27.2	20.7	70	1.9
15-Aug	25.8	29.7	22.4	69	2
15-Sep	20.2	24.4	16.6	69	1.9
15-Oct	16	21	11.5	53	2.4
15-Nov	9.9	12.9	7.2	69	2
15-Dec	4.9	8.9	1.6	48	2.8
16-Jan	0.4	4.7	-3.1	37	3.4
16-Feb	1.9	6	-1.6	47	2.7
16-Mar	7.9	12.4	3.7	49	2.4
16-Apr	14.1	19.3	9.2	52	2.6
16-May	19.3	24.9	14.2	49	2.5
16-Jun	21.9	25.9	18.3	66	1.8
16-Jul	24.1	27.6	21.2	74	1.5
16-Aug	25.8	29.8	22.2	70	2
16-Sep	20.6	24.3	17.6	76	1.6
16-Oct	15.6	19.8	12.2	67	1.9
16-Nov	9.1	13.6	4.7	53	2.3
16-Dec	5	9.2	1.2	49	2.8
17-Jan	1.5	5.8	-2	43	3
17-Feb	3.5	8.4	-0.8	38	3.1
17-Mar	7.1	11.8	2.8	49	2.4
17-Apr	15.4	20.7	10.3	44	2.8
17-May	20.3	25.3	15.4	47	2.7
17-Jun	21.2	25.7	17.1	62	1.9
17-Jul	26.8	30.1	23.9	68	2
17-Aug	24.3	27.4	21.6	75	1.6
17-Sep	21.3	25.9	17.2	61	2.3
17-Oct	15.2	19.2	11.8	67	1.9
17-Nov	9	13.6	4.6	38	3
17-Dec	1.5	5.9	-2.6	34	3.4
18-Jan	-0.2	4.4	-3.9	32	3.3
18-Feb	0.5	5.2	-3.8	38	3
18-Mar	9.2	14	4.1	51	2.7
18-Apr	14.5	19.7	9.2	48	2.8
18-May	17.3	21.7	13.1	67	2.2
18-Jun	23.2	27.3	19.3	61	2
18-Jul	26.8	30.2	23.9	72	1.9
18-Aug	26.2	29.9	22.9	77	1.7
18-Sep	20	23.9	16.5	72	1.9
18-Oct	14.1	18.5	10.4	57	2.6
18-Nov	10	14.4	6.6	53	2.2
18-Dec	2.7	7.3	-1.1	41	2.8
19-Jan	2.8	7.7	-1.1	34	3.3
19-Feb	3.8	8.2	-0.1	44	2.7
19-Mar	8.9	13.8	4.4	47	2.9
19-Apr	12.6	17.1	7.5	51	2.5
19-May	21	26.2	15.8	44	2.7
19-Jun	21.4	26.5	17.3	69	1.9
19-Jul	25.8	29.1	23.1	71	2.1
19-Aug	26.5	30.8	23.3	72	2
19-Sep	21.5	25.9	18.2	76	1.8
19-Oct	16.6	21.6	13	67	2.2
19-Nov	10.2	15.8	6	56	2.5
19-Dec	5.3	10	1.3	47	2.7
20-Jan	4.4	8.1	1.7	56	2.7
20-Feb	5	9.6	0.9	53	2.8
20-Mar	8.7	13.9	3.6	56	2.6
20-Apr	11.8	16.4	7.1	51	2.8
20-May	18.3	22.9	14.3	65	2.3
20-Jun	24.1	28.2	20.1	67	2.2
20-Jul	22.4	25.5	19.6	83	1.6
20-Aug	27	30.5	24.1	77	1.8
20-Sep	20.6	24.5	17.2	75	2.2
20-Oct	15.1	20.1	10.8	60	2.2
20-Nov	11	15.6	6.7	48	2.7
20-Dec	3	7.8	-0.8	40	3
21-Jan	0.6	5.7	-3.9	46	2.6
21-Feb	4.9	10.3	0	50	2.9
21-Mar	9.7	14.8	5	60	2.3
21-Apr	13.8	18.9	8.9	56	2.2
21-May	17.9	22.5	13.4	60	2.4
21-Jun	22	25.9	18.4	73	1.8
21-Jul	26.7	30.8	23.1	77	1.5
21-Aug	25.5	29	22.7	77	1.8
21-Sep	21.7	25.5	18.5	77	1.7
21-Oct	16.5	21.4	12.5	70	1.9
21-Nov	11.1	16.3	7	52	2.6
21-Dec	4.4	9.5	0.1	48	2.9
22-Jan	1.5	6.4	-2.4	47	2.5
22-Feb	2	7.1	-2.2	39	3
22-Mar	9	13.4	4.5	57	2.3
22-Apr	16.1	21	11	50	2.5
22-May	20.3	25.3	15.1	48	2.6
22-Jun	23.6	27.2	19.9	71	1.9
22-Jul	26.3	29.8	23.6	80	1.4
22-Aug	26.6	30.1	23.2	75	1.7
22-Sep	21.8	26.6	17.7	73	1.8
22-Oct	15.3	19.8	11.6	70	2
22-Nov	12.7	18.3	8.2	55	2.2
22-Dec	1.5	6.5	-2.6	41	3.1
23-Jan	2.4	7.5	-1.5	44	2.6
23-Feb	5.2	9.8	1	54	2.3
23-Mar	12.1	17.3	7	50	2.3
23-Apr	15.3	20.2	10.2	54	2.6
23-May	20.3	25.1	15.1	59	2.1
23-Jun	23.2	27.6	19	66	2
23-Jul	27.5	31.4	24.1	72	1.8
23-Aug	26.2	29.9	23.5	80	1.6
23-Sep	22.4	26.2	19.3	80	1.7
23-Oct	17	22	12.9	59	2.4
23-Nov	10.5	15.1	6.2	48	2.9
23-Dec					
